Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 02/22  19:00:00,5298397.224606365,2394220.834870312,17724434.235940227,17724434.23594022,0.0 
 02/22  20:00:00,5298397.224606365,2394220.834870312,13031418.059538957,13031418.059538952,0.0 
 02/22  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/22  22:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/22  23:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 02/22  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/23  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/23  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/23  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/23  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/23  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/23  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 02/23  07:00:00,2901503.2420463429,5985552.087175781,21474409.666087714,21474409.666087714,0.0 
 02/23  08:00:00,5152166.2876790999,5985552.087175781,21209388.066310236,21209388.066310228,0.0 
 02/23  09:00:00,10029177.395169098,11971104.174351562,39617004.48214308,39617004.48214308,0.0 
 02/23  10:00:00,9910361.478387027,11971104.174351562,41390917.10435984,41390917.10435983,0.0 
 02/23  11:00:00,9868007.343404955,11971104.174351562,42742946.87207289,42742946.87207289,0.0 
 02/23  12:00:00,9658991.198902462,11971104.174351562,43232571.44001683,43232571.44001683,0.0 
 02/23  13:00:00,8560265.785616199,11252837.923890466,41481888.8895963,41481888.889596309,0.0 
 02/23  14:00:00,9767270.27982338,11971104.174351562,44699572.635894257,44699572.63589423,0.0 
 02/23  15:00:00,9868007.343404953,11971104.174351562,45064373.06986865,45064373.06986864,0.0 
 02/23  16:00:00,9947480.68276009,11971104.174351562,44248334.303545128,44248334.30354512,0.0 
 02/23  17:00:00,10052273.411126992,11971104.174351562,43350015.502872828,43350015.502872828,0.0 
 02/23  18:00:00,7438058.643304307,5985552.087175781,30413445.06535892,30413445.065358916,0.0 
 02/23  19:00:00,5298397.224606365,2394220.834870312,17724434.235940227,17724434.23594022,0.0 
 02/23  20:00:00,5298397.224606365,2394220.834870312,13031418.059538957,13031418.059538952,0.0 
 02/23  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/23  22:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 02/23  23:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 02/23  24:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 02/24  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/24  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/24  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/24  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/24  05:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 02/24  06:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 02/24  07:00:00,2901503.2420463429,5985552.087175781,21327195.268713118,21327195.268713114,0.0 
 02/24  08:00:00,5247285.963664225,5985552.087175781,21171442.15719022,21171442.15719021,0.0 
 02/24  09:00:00,10794962.50314914,11971104.174351562,38833789.80282414,38833789.80282414,0.0 
 02/24  10:00:00,10538956.44309196,11971104.174351562,39655465.8778219,39655465.8778219,0.0 
 02/24  11:00:00,9714219.094281106,11971104.174351562,40123370.69224045,40123370.69224044,0.0 
