Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 05/27  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/27  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/27  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/27  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/27  05:00:00,2923570.5965399087,2043510.819381642,8107919.415921549,8107919.415921549,0.0 
 05/27  06:00:00,2896014.0380883619,2043510.819381642,6995124.857470002,6995124.857470002,0.0 
 05/27  07:00:00,2693726.5672215896,2043510.819381642,6792837.38660323,6792837.38660323,0.0 
 05/27  08:00:00,2482071.872758804,2043510.819381642,6581182.692140444,6581182.692140444,0.0 
 05/27  09:00:00,2410173.7707739227,2043510.819381642,6509284.590155562,6509284.590155562,0.0 
 05/27  10:00:00,2396684.353884633,2043510.819381642,6495795.173266274,6495795.173266274,0.0 
 05/27  11:00:00,2396080.1002111055,2043510.819381642,6495190.9195927469,6495190.9195927469,0.0 
 05/27  12:00:00,2434584.375508456,2043510.819381642,6533695.194890097,6533695.194890097,0.0 
 05/27  13:00:00,2435230.1909651088,2043510.819381642,6534341.010346751,6534341.01034675,0.0 
 05/27  14:00:00,2463464.3018067835,2043510.819381642,6562575.1211884249,6562575.121188424,0.0 
 05/27  15:00:00,2422087.9023463379,2043510.819381642,6521198.721727977,6521198.721727977,0.0 
 05/27  16:00:00,2408236.3244039646,2043510.819381642,6507347.143785603,6507347.143785603,0.0 
 05/27  17:00:00,2436137.8202353978,2043510.819381642,6535248.639617039,6535248.639617039,0.0 
 05/27  18:00:00,2498993.9148109599,2043510.819381642,6598104.7341926009,6598104.7341926009,0.0 
 05/27  19:00:00,2695104.1036079588,2043510.819381642,6794214.9229896,6794214.922989598,0.0 
 05/27  20:00:00,2917794.611280243,2043510.819381642,8658505.430661884,8658505.430661884,0.0 
 05/27  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/27  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/27  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/27  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/28  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/28  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/28  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/28  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/28  05:00:00,2923570.5965399087,2043510.819381642,8107919.415921549,8107919.415921549,0.0 
 05/28  06:00:00,2886720.1132089479,2043510.819381642,6985830.932590588,6985830.932590588,0.0 
 05/28  07:00:00,2610780.636286927,2043510.819381642,6709891.455668568,6709891.455668568,0.0 
 05/28  08:00:00,2466960.4008366,2043510.819381642,6566071.220218241,6566071.220218241,0.0 
 05/28  09:00:00,2492381.1729715026,2043510.819381642,6591491.992353142,6591491.992353142,0.0 
 05/28  10:00:00,2410462.633110407,2043510.819381642,6509573.452492048,6509573.452492048,0.0 
 05/28  11:00:00,2375517.859215929,2043510.819381642,6474628.6785975699,6474628.6785975699,0.0 
 05/28  12:00:00,2395637.2416178735,2043510.819381642,6494748.060999515,6494748.060999514,0.0 
 05/28  13:00:00,2437813.452791719,2043510.819381642,6536924.272173362,6536924.27217336,0.0 
 05/28  14:00:00,2385900.4581452275,2043510.819381642,6485011.2775268689,6485011.277526868,0.0 
 05/28  15:00:00,2381939.6599322475,2043510.819381642,6481050.479313888,6481050.479313888,0.0 
 05/28  16:00:00,2410173.770773922,2043510.819381642,6509284.590155562,6509284.590155562,0.0 
 05/28  17:00:00,2413439.7929235768,2043510.819381642,6512550.612305217,6512550.612305217,0.0 
 05/28  18:00:00,2546995.0718511447,2043510.819381642,6646105.891232785,6646105.891232785,0.0 
 05/28  19:00:00,2741845.3666683135,2043510.819381642,6840956.186049954,6840956.186049954,0.0 
 05/28  20:00:00,2923570.5965399087,2043510.819381642,8664281.415921549,8664281.415921549,0.0 
 05/28  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/28  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/28  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/28  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/29  01:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/29  02:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/29  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/29  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/29  05:00:00,2923570.5965399087,2043510.819381642,8107919.415921549,8107919.415921549,0.0 
 05/29  06:00:00,2785389.2893788788,2043510.819381642,6884500.10876052,6884500.10876052,0.0 
 05/29  07:00:00,2496816.56671119,2043510.819381642,6595927.386092831,6595927.38609283,0.0 
 05/29  08:00:00,2418569.9627265899,2043510.819381642,6517680.782108229,6517680.782108229,0.0 
 05/29  09:00:00,2410173.7707739227,2043510.819381642,6509284.590155562,6509284.590155562,0.0 
 05/29  10:00:00,2396038.5384279808,2043510.819381642,6495149.357809621,6495149.35780962,0.0 
 05/29  11:00:00,2375517.859215929,2043510.819381642,6474628.6785975699,6474628.6785975699,0.0 
 05/29  12:00:00,2409464.4814503195,2043510.819381642,6508575.3008319609,6508575.3008319609,0.0 
 05/29  13:00:00,2372934.597389318,2043510.819381642,6472045.416770959,6472045.416770959,0.0 
 05/29  14:00:00,2375517.859215929,2043510.819381642,6474628.6785975699,6474628.6785975699,0.0 
 05/29  15:00:00,2381293.8444755945,2043510.819381642,6480404.663857235,6480404.663857235,0.0 
 05/29  16:00:00,2416705.8150732319,2043510.819381642,6515816.6344548719,6515816.6344548719,0.0 
 05/29  17:00:00,2529053.03754897,2043510.819381642,6628163.856930612,6628163.85693061,0.0 
 05/29  18:00:00,2755131.8266941818,2043510.819381642,6854242.646075822,6854242.646075822,0.0 
 05/29  19:00:00,2840575.7049985735,2043510.819381642,6939686.524380214,6939686.524380214,0.0 
 05/29  20:00:00,2923570.5965399087,2043510.819381642,8664281.415921549,8664281.415921549,0.0 
 05/29  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/29  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/29  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 05/29  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 05/30  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/30  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/30  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/30  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 05/30  05:00:00,3734848.3313841617,5108777.048454104,11984463.379838266,11984463.379838266,0.0 
 05/30  06:00:00,2693949.381913919,5985552.087175781,16648605.967592398,16648605.967592398,0.0 
 05/30  07:00:00,4810663.259406587,5985552.087175781,18742422.597882663,18742422.59788266,0.0 
 05/30  08:00:00,9502800.241397499,11971104.174351562,30554410.13539873,30554410.135398739,0.0 
 05/30  09:00:00,9393512.91290792,11971104.174351562,33116178.860984498,33116178.860984498,0.0 
 05/30  10:00:00,9553913.814419907,11971104.174351562,36018825.55596091,36018825.55596091,0.0 
 05/30  11:00:00,9561581.3775942,11971104.174351562,37580881.37902591,37580881.37902591,0.0 
 05/30  12:00:00,8557023.334015759,11252837.923890466,35806350.63183743,35806350.63183742,0.0 
 05/30  13:00:00,9626651.250767732,11971104.174351562,39476587.31869532,39476587.31869532,0.0 
 05/30  14:00:00,9557353.503756417,11971104.174351562,40078930.95997947,40078930.959979478,0.0 
 05/30  15:00:00,9412049.735694875,11971104.174351562,40512249.66050381,40512249.66050381,0.0 
 05/30  16:00:00,9349895.798425703,11971104.174351562,40865831.5309239,40865831.5309239,0.0 
 05/30  17:00:00,6398789.144707826,5985552.087175781,28948061.83745852,28948061.83745852,0.0 
 05/30  18:00:00,4506172.982330009,2394220.834870312,14846601.068500614,14846601.068500614,0.0 
