Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/02  07:00:00,2923570.5965399087,2043510.819381642,8117081.415921549,8117081.415921549,0.0 
 04/02  08:00:00,2923570.5965399087,2043510.819381642,7022681.415921549,7022681.415921549,0.0 
 04/02  09:00:00,2831655.956912526,2043510.819381642,6930766.776294166,6930766.776294166,0.0 
 04/02  10:00:00,2560330.492483686,2043510.819381642,6659441.311865328,6659441.311865326,0.0 
 04/02  11:00:00,2469683.145659682,2043510.819381642,6568793.965041322,6568793.965041322,0.0 
 04/02  12:00:00,2489562.626331814,2043510.819381642,6588673.445713454,6588673.445713454,0.0 
 04/02  13:00:00,2604493.110634163,2043510.819381642,6703603.930015803,6703603.930015803,0.0 
 04/02  14:00:00,2501236.856174418,2043510.819381642,6600347.67555606,6600347.67555606,0.0 
 04/02  15:00:00,2495480.592107945,2043510.819381642,6594591.411489585,6594591.411489585,0.0 
 04/02  16:00:00,2650909.1575078249,2043510.819381642,6750019.976889465,6750019.976889465,0.0 
 04/02  17:00:00,2702374.6766443506,2043510.819381642,6801485.496025991,6801485.496025991,0.0 
 04/02  18:00:00,2872296.018526521,2043510.819381642,6971406.837908163,6971406.837908162,0.0 
 04/02  19:00:00,2923570.5965399087,2043510.819381642,7569881.415921549,7569881.415921549,0.0 
 04/02  20:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/02  21:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/02  22:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/02  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/02  24:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/03  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/03  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/03  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/03  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/03  05:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 04/03  06:00:00,2901503.2420463429,5985552.087175781,20088526.36407539,20088526.36407539,0.0 
 04/03  07:00:00,5298397.224606365,5985552.087175781,20477220.964225357,20477220.964225357,0.0 
 04/03  08:00:00,11353708.338442214,11971104.174351562,31247863.773752095,31247863.773752095,0.0 
 04/03  09:00:00,11119753.082694393,11971104.174351562,31311752.30773802,31311752.30773801,0.0 
 04/03  10:00:00,10748665.15044494,11971104.174351562,31485302.83782022,31485302.837820215,0.0 
 04/03  11:00:00,10361805.451725325,11971104.174351562,31889967.299206556,31889967.299206549,0.0 
 04/03  12:00:00,9065323.212719094,11252837.923890466,29431965.2883763,29431965.288376295,0.0 
 04/03  13:00:00,9585654.61251824,11971104.174351562,32642987.975388219,32642987.97538822,0.0 
 04/03  14:00:00,9606081.193810128,11971104.174351562,33474837.33418688,33474837.33418688,0.0 
 04/03  15:00:00,9624712.533829518,11971104.174351562,33605998.497913938,33605998.49791393,0.0 
 04/03  16:00:00,9694372.628776506,11971104.174351562,33982613.6790807,33982613.6790807,0.0 
 04/03  17:00:00,6742779.627268018,5985552.087175781,21810778.090887757,21810778.090887764,0.0 
 04/03  18:00:00,4911290.031288879,2394220.834870312,15223781.90107473,15223781.901074734,0.0 
 04/03  19:00:00,5272256.387329072,2394220.834870312,10269277.222261662,10269277.222261658,0.0 
 04/03  20:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/03  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/03  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 04/03  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/03  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/04  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/04  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/04  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/04  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/04  05:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 04/04  06:00:00,2901503.2420463429,5985552.087175781,20088526.36407539,20088526.36407539,0.0 
 04/04  07:00:00,5298397.224606365,5985552.087175781,20425236.46889897,20425236.468898976,0.0 
 04/04  08:00:00,10902140.010066394,11971104.174351562,30965671.75405441,30965671.754054406,0.0 
 04/04  09:00:00,10075179.288201668,11971104.174351562,31587478.461775535,31587478.461775528,0.0 
 04/04  10:00:00,9744250.851267159,11971104.174351562,33809862.95396651,33809862.953966509,0.0 
 04/04  11:00:00,9619696.475490462,11971104.174351562,35665664.88189389,35665664.88189389,0.0 
 04/04  12:00:00,8637284.347824216,11252837.923890466,33498732.341139594,33498732.341139597,0.0 
 04/04  13:00:00,9762471.98933594,11971104.174351562,37349722.42461034,37349722.42461034,0.0 
 04/04  14:00:00,9706836.187222466,11971104.174351562,38264451.201955247,38264451.20195523,0.0 
 04/04  15:00:00,10041119.49539868,11971104.174351562,39100505.053296249,39100505.05329624,0.0 
 04/04  16:00:00,9865213.553701427,11971104.174351562,39031869.522790517,39031869.5227905,0.0 
 04/04  17:00:00,7100100.053615086,5985552.087175781,27008688.584724387,27008688.58472439,0.0 
 04/04  18:00:00,5180501.703746833,2394220.834870312,15492993.57353269,15492993.57353269,0.0 
 04/04  19:00:00,5298397.224606365,2394220.834870312,10295418.059538953,10295418.059538952,0.0 
 04/04  20:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/04  21:00:00,4036874.0758905645,2394220.834870312,11769894.910823154,11769894.910823152,0.0 
 04/04  22:00:00,2901503.2420463429,2394220.834870312,10634524.076916654,10634524.076916654,0.0 
 04/04  23:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/04  24:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/05  01:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/05  02:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/05  03:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/05  04:00:00,2923570.5965399087,5108777.048454104,12258423.644994012,12258423.644994012,0.0 
 04/05  05:00:00,3735673.540023218,5108777.048454104,13070526.588477325,13070526.58847732,0.0 
 04/05  06:00:00,2901503.2420463429,5985552.087175781,20280474.321683427,20280474.321683427,0.0 
 04/05  07:00:00,5298397.224606365,5985552.087175781,22397518.495732719,22397518.495732719,0.0 
 04/05  08:00:00,10993460.932418678,11971104.174351562,30882836.141685785,30882836.141685774,0.0 
 04/05  09:00:00,10276956.001311237,11971104.174351562,30181791.891012305,30181791.89101229,0.0 
 04/05  10:00:00,9947480.68276009,11971104.174351562,29898682.745505528,29898682.74550552,0.0 
